USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
10411,Telescopium,α Tel,α,Alpha,,,,169467,90422,18h 26m 58.43s,-45° 58′ 06.0″,3.49,−0.93,249,B3IV,,276.742,-44.032,Telescopii,Alpha Telescopii
10412,Telescopium,ζ Tel,ζ,Zeta,,,,169767,90568,18h 28m 49.74s,-49° 04′ 12.1″,4.1,1.14,127,G8/K0III,,277.204,-48.930,Telescopii,Zeta Telescopii
10413,Telescopium,ε Tel,ε,Epsilon,,,,166063,89112,18h 11m 13.78s,-45° 57′ 15.6″,4.52,−0.97,409,G5III,,272.804,-44.046,Telescopii,Epsilon Telescopii
10414,Telescopium,λ Tel,λ,Lambda,,,,175510,93148,18h 58m 27.76s,-52° 56′ 19.0″,4.85,−1.21,531,A0V,,284.613,-51.061,Telescopii,Lambda Telescopii
10415,Telescopium,ι Tel,ι,Iota,,,,184127,96341,19h 35m 12.99s,-48° 05′ 56.8″,4.88,−0.55,398,G9III,,293.800,-47.901,Telescopii,Iota Telescopii
10416,Telescopium,δ1 Tel,δ1,Delta 1,,,,170465,90830,18h 31m 45.44s,-45° 54′ 53.1″,4.92,−2.02,795,B6IV,,277.938,-44.085,Telescopii,Delta 1 Telescopii
10417,Telescopium,ξ Tel,ξ,Xi,,,,190421,99120,20h 07m 23.17s,-52° 52′ 50.9″,4.93,−3.00,1254,M1II,"slow irregular variable, Vmax = 4.89m, Vmin = 4.94m",301.846,-51.119,Telescopii,Xi Telescopii
10418,Telescopium,η Tel,η,Eta,,,,181296,95261,19h 22m 51.18s,-54° 25′ 25.4″,5.03,1.64,155,A0Vn,has a debris disk and brown dwarf companion,290.713,-53.576,Telescopii,Eta Telescopii
10419,Telescopium,δ2 Tel,δ2,Delta 2,,,,170523,90853,18h 32m 01.94s,-45° 45′ 26.5″,5.07,−2.60,1116,B3III,,278.004,-44.243,Telescopii,Delta 2 Telescopii
10420,Telescopium,ρ Tel,ρ,Rho,,,,177171,93815,19h 06m 19.92s,-52° 20′ 26.3″,5.17,1.57,171,F7V,"variable star, ΔV = 0.011m, P = 4.73687 d",286.579,-51.659,Telescopii,Rho Telescopii
10421,Telescopium,κ Tel,κ,Kappa,,,,174295,92646,18h 52m 39.61s,-52° 06′ 25.7″,5.18,0.41,293,G8/K0III,,283.163,-51.893,Telescopii,Kappa Telescopii
10422,Telescopium,ν Tel,ν,Nu,,,,186543,97421,19h 48m 01.10s,-56° 21′ 44.2″,5.33,1.75,170,A9Vn,,297.004,-55.638,Telescopii,Nu Telescopii
10423,Telescopium,QV Tel,,QV,,,QV,167128,89605,18h 17m 07.54s,-56° 01′ 24.0″,5.36,−1.43,743,B3IIIpe,Hierarchical triple including a black hole,274.279,-55.977,Telescopii,QV Telescopii
10424,Telescopium,HD 179886,,HD 179886,,,,179886,94712,19h 16m 21.74s,-45° 27′ 57.8″,5.38,−0.69,534,K3III,,289.088,-44.534,Telescopii,HD 179886 Telescopii
10425,Telescopium,HD 169405,,HD 169405,,,,169405,90414,18h 26m 54.01s,-48° 07′ 01.6″,5.44,−0.61,529,K0/K1III+..,,276.725,-47.883,Telescopii,HD 169405 Telescopii
10426,Telescopium,HD 174387,,HD 174387,,,,174387,92630,18h 52m 27.21s,-46° 35′ 42.4″,5.51,−1.83,956,M0III,suspected variable,283.113,-45.405,Telescopii,HD 174387 Telescopii
10427,Telescopium,PW Tel,,PW,,,PW,183806,96178,19h 33m 21.63s,-45° 16′ 18.1″,5.61,−0.04,436,A0p,"α² CVn variable, ΔV = 0.011m, P = 2.9213 d",293.338,-44.728,Telescopii,PW Telescopii
10428,Telescopium,HD 191829,,HD 191829,,,,191829,99747,20h 14m 19.01s,-52° 26′ 44.3″,5.65,−1.59,916,K4III,,303.579,-51.554,Telescopii,HD 191829 Telescopii
10429,Telescopium,HD 170069,τ,Tau,,,,170069,90662,18h 29m 55.92s,-47° 13′ 13.8″,5.69,−0.61,594,K2III,Labelled τ by Lacaille but designation dropped by Gould,277.479,-46.780,Telescopii,Tau Telescopii
10430,Telescopium,HD 182509,,HD 182509,,,,182509,95690,19h 27m 48.12s,-54° 19′ 31.1″,5.7,−0.55,579,K4III,,291.950,-53.675,Telescopii,HD 182509 Telescopii
10431,Telescopium,HD 183552,,HD 183552,,,,183552,96141,19h 32m 53.79s,-53° 11′ 08.2″,5.76,0.29,405,Am,,293.221,-52.814,Telescopii,HD 183552 Telescopii
10432,Telescopium,HD 187420,,HD 187420,,,,187420,97816,19h 52m 37.70s,-54° 58′ 15.7″,5.76,0.58,354,G8/K0III,,298.154,-53.029,Telescopii,HD 187420 Telescopii
10433,Telescopium,HD 173791,,HD 173791,,,,173791,92367,18h 49m 27.34s,-45° 48′ 36.4″,5.8,0.2,360,G8III,,282.363,-44.190,Telescopii,HD 173791 Telescopii
10434,Telescopium,HD 171819,,HD 171819,,,,171819,91461,18h 39m 14.27s,-47° 54′ 35.3″,5.84,0.82,329,A3V,,279.808,-46.090,Telescopii,HD 171819 Telescopii
10435,Telescopium,HD 187086,,HD 187086,,,,187086,97598,19h 50m 14.05s,-47° 33′ 26.5″,5.91,−1.76,1116,M1III,"variable star, ΔV = 0.023m, P = 7.68049 d",297.558,-46.443,Telescopii,HD 187086 Telescopii
10436,Telescopium,HD 176664,,HD 176664,,,,176664,93624,19h 03m 57.52s,-51° 01′ 05.7″,5.93,1.17,292,K0/K1III,,285.988,-50.982,Telescopii,HD 176664 Telescopii
10437,Telescopium,HD 177406,,HD 177406,,,,177406,93862,19h 06m 55.60s,-48° 17′ 56.8″,5.95,0.8,349,A0V,,286.729,-47.701,Telescopii,HD 177406 Telescopii
10438,Telescopium,HD 167257,,HD 167257,,,,167257,89597,18h 17m 00.92s,-51° 04′ 05.7″,6.06,0.85,359,B9V,,274.250,-50.932,Telescopii,HD 167257 Telescopii
10439,Telescopium,HD 166006,,HD 166006,,,,166006,89096,18h 11m 04.41s,-47° 30′ 47.0″,6.07,0.18,490,K1III-IV,,272.767,-46.487,Telescopii,HD 166006 Telescopii
10440,Telescopium,HD 178845,,HD 178845,,,,178845,94398,19h 12m 46.10s,-50° 29′ 10.7″,6.12,0.39,457,G8III,,288.192,-49.514,Telescopii,HD 178845 Telescopii
10441,Telescopium,HD 192886,,HD 192886,,,,192886,100184,20h 19m 17.68s,-47° 34′ 47.4″,6.13,3.78,96,F5V,,304.821,-46.420,Telescopii,HD 192886 Telescopii
10442,Telescopium,HD 182893,,HD 182893,,,,182893,95866,19h 29m 52.59s,-55° 26′ 29.7″,6.14,0.93,359,K0/K1III,,292.467,-54.559,Telescopii,HD 182893 Telescopii
10443,Telescopium,HD 174500,,HD 174500,,,,174500,92669,18h 52m 59.90s,-46° 35′ 10.9″,6.17,−0.79,803,A1IV/V,,283.246,-45.414,Telescopii,HD 174500 Telescopii
