USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
10481,Triangulum,β Tri,β,Beta,4,,,13161,10064,02h 09m 32.52s,+34° 59′ 14.6″,3,0.09,124,A5III,"Deltotum, Deltoton; suspected variable",32.383,34.987,Trianguli,Beta Trianguli
10482,Triangulum,α Tri,α,Alpha,2,,,11443,8796,01h 53m 04.90s,+29° 34′ 45.8″,3.42,1.95,64,F6IV,"Mothallah, Metallah, Ras al Mothallah, Elmuthalleth, Caput Trianguli; rotating ellipsoidal variable",28.267,29.579,Trianguli,Alpha Trianguli
10483,Triangulum,γ Tri,γ,Gamma,9,,,14055,10670,02h 17m 18.84s,+33° 50′ 50.4″,4.03,1.24,118,A1Vnn,,34.325,33.847,Trianguli,Gamma Trianguli
10484,Triangulum,δ Tri,δ,Delta,8,,,13974,10644,02h 17m 02.42s,+34° 13′ 29.4″,4.84,4.66,35,G0V,,34.258,34.225,Trianguli,Delta Trianguli
10485,Triangulum,ι Tri,ι,Iota,6,,TZ,13480,10280,02h 12m 22.32s,+30° 18′ 11.6″,4.94,0.08,305,F5V comp SB,"RS CVn variable, ΔV = 0.09m, P = 14.732 d",33.092,30.303,Trianguli,Iota Trianguli
10486,Triangulum,14 Tri,,14,14,,,15656,11784,02h 32m 06.14s,+36° 08′ 50.0″,5.15,−0.25,391,K5III,"variable star, ΔV = 0.006m, P = 0.08576 d",38.025,36.147,Trianguli,14 Trianguli
10487,Triangulum,7 Tri,,7,7,,,13869,10559,02h 15m 56.30s,+33° 21′ 32.3″,5.25,0.48,293,A0V,,33.983,33.359,Trianguli,7 Trianguli
10488,Triangulum,10 Tri,,10,10,,,14252,10793,02h 18m 56.99s,+28° 38′ 33.6″,5.29,0.13,350,A2V,,34.733,28.643,Trianguli,10 Trianguli
10489,Triangulum,12 Tri,,12,12,,,15257,11486,02h 28m 09.99s,+29° 40′ 10.3″,5.29,1.9,155,F0III,,37.038,29.669,Trianguli,12 Trianguli
10490,Triangulum,15 Tri,,15,15,,,16058,12086,02h 35m 46.80s,+34° 41′ 15.7″,5.38,,,M3III,"suspected slow irregular variable, ΔV = 0.14m",38.942,34.688,Trianguli,15 Trianguli
10491,Triangulum,R Tri,,R,,,R,16210,12193,02h 37m 02.50s,+34° 15′ 50.0″,5.4,,1299,M4IIIe,"Mira variable, Vmax = 5.4m, Vmin = 12.6m, P = 266.9 d",39.258,34.264,Trianguli,R Trianguli
10492,Triangulum,ε Tri,ε,Epsilon,3,,,12471,9570,02h 02m 57.97s,+33° 17′ 02.9″,5.5,0.22,370,A2V,binary star,30.738,33.284,Trianguli,Epsilon Trianguli
10493,Triangulum,11 Tri,,11,11,,,15176,11432,02h 27m 27.79s,+31° 48′ 04.9″,5.55,0.83,286,K1III:,,36.863,31.801,Trianguli,11 Trianguli
10494,Triangulum,HD 10390,,HD 10390,,,,10390,7943,01h 42m 03.45s,+35° 14′ 44.8″,5.63,1.13,259,B9IV-V,,25.513,35.246,Trianguli,HD 10390 Trianguli
10495,Triangulum,HD 11007,,HD 11007,,,,11007,8433,01h 48m 41.68s,+32° 41′ 22.2″,5.78,3.6,89,F8V,,27.171,32.689,Trianguli,HD 11007 Trianguli
10496,Triangulum,HD 11928,,HD 11928,,,,11928,9132,01h 57m 43.74s,+27° 48′ 16.3″,5.84,0.02,476,M2III,"variable star, ΔV = 0.013m, P = 50.65856 d",29.429,27.804,Trianguli,HD 11928 Trianguli
10497,Triangulum,HD 15755,,HD 15755,,,,15755,11840,02h 32m 52.66s,+34° 32′ 32.8″,5.84,1.33,260,K0III,,38.217,34.542,Trianguli,HD 15755 Trianguli
10498,Triangulum,13 Tri,,13,13,,,15335,11548,02h 28m 48.54s,+29° 55′ 53.7″,5.89,3.45,100,G0V,,37.200,29.931,Trianguli,13 Trianguli
10499,Triangulum,HD 10348,,HD 10348,,,,10348,7906,01h 41m 39.24s,+30° 02′ 49.7″,5.97,−0.06,523,K0III,,25.413,30.047,Trianguli,HD 10348 Trianguli
10500,Triangulum,HD 16187,,HD 16187,,,,16187,12160,02h 36m 43.05s,+31° 36′ 27.6″,6.07,0.36,452,K0,,39.179,31.608,Trianguli,HD 16187 Trianguli
10501,Triangulum,HD 16220,,HD 16220,,,,16220,12200,02h 37m 06.51s,+32° 53′ 27.7″,6.23,2.52,180,F8V,,39.275,32.891,Trianguli,HD 16220 Trianguli
10502,Triangulum,5 Tri,,5,5,,,13372,10220,02h 11m 25.00s,+31° 31′ 35.1″,6.24,0.39,482,A1m,,32.854,31.526,Trianguli,5 Trianguli
10503,Triangulum,HD 15464,,HD 15464,,,,15464,11651,02h 30m 16.56s,+33° 50′ 01.8″,6.26,0.98,371,K1III,"variable star, ΔV = 0.005m, P = 0.26973 d",37.567,33.834,Trianguli,HD 15464 Trianguli
10504,Triangulum,HD 10588,,HD 10588,,,,10588,8086,01h 43m 50.15s,+32° 11′ 31.2″,6.32,0.57,460,G8III-IV SB,,25.958,32.192,Trianguli,HD 10588 Trianguli
10505,Triangulum,HD 13747,,HD 13747,,,,13747,10446,02h 14m 37.88s,+28° 41′ 29.1″,6.35,2.48,194,K1III,,33.654,28.691,Trianguli,HD 13747 Trianguli
10506,Triangulum,HD 9298,,HD 9298,,,,9298,7147,01h 32m 07.58s,+34° 47′ 59.9″,6.39,−0.90,937,B7IIIMNp...,,23.029,34.800,Trianguli,HD 9298 Trianguli
10507,Triangulum,HD 13189,,HD 13189,,,,13189,10085,02h 09m 40.17s,+32° 18′ 59.2″,7.57,1.23,602,K3II,has a planet or a brown dwarf companion (b),32.417,32.316,Trianguli,HD 13189 Trianguli
10508,Triangulum,HD 9446,,HD 9446,,,,9446,7245,01h 33m 20.18s,+29° 15′ 54.5″,8.35,4.74,172,G5V,has two planets (b & c),23.333,29.265,Trianguli,HD 9446 Trianguli
10509,Triangulum,HD 12545,,XX,,,XX,12545,9630,02h 03m 47.11s,+35° 35′ 28.7″,8.42,,522,K0III,"RS CVn variable, Vmax = 8.1m, Vmin = 8.7m, P = 24.26007 d",30.946,35.591,Trianguli,XX Trianguli
10510,Triangulum,X Tri,,X,,,X,12211,9383,02h 00m 33.72s,+27° 53′ 19.3″,8.86,2.76,541,A7V,"Algol variable, Vmax = 8.55m, Vmin = 11.27m, P = 0.9715352 d",30.138,27.889,Trianguli,X Trianguli
10511,Triangulum,V Tri,,V,,,V,,,01h 31m 47.10s,+30° 22′ 01.6″,10.96,,,A3,"β Lyr variable, Vmax = 10.7m, Vmin = 11.8m, P = 0.5852057 d",22.946,30.367,Trianguli,V Trianguli
10512,Triangulum,RV Tri,,RV,,,RV,,,02h 13m 18.16s,+31° 01′ 01.6″,11.21,,,A2:,Algol variable,33.325,31.017,Trianguli,RV Trianguli
10513,Triangulum,WASP-56,,W-56,,,,,,01h 44m 19.59s,+31° 41′ 22.5″,11.46,,,G6,has a planet,26.079,31.689,Trianguli,W-56 Trianguli
10514,Triangulum,RW Tri,,RW,,,RW,,,02h 25m 36.15s,+28° 05′ 50.9″,12.5,,,M0V,"Algol variable and nova-like star, Vmax = 12.5m, Vmin = 15.61m, P = 0.231883392 d",36.400,28.097,Trianguli,RW Trianguli
10515,Triangulum,AI Tri,,AI,,,AI,,,02h 03m 48.61s,+29° 59′ 25.8″,15.3,,,M2.5,"AM Her variable, Vmax = 14.7m, Vmin = 18.2m, P = 0.19174566 d",30.950,29.990,Trianguli,AI Trianguli
10516,Triangulum,Var 83,, ,,,,,,01h 34m 10.91s,+30° 34′ 37.4″,15.4,,3000000,,"in Triangulum Galaxy; luminous blue variable, Vmax = 15.4m, Vmin = 16.6m; one of the most luminous stars known",23.542,30.577,Trianguli,  Trianguli
10517,Triangulum,Var B,, ,,,,,,01h 33m 49.20s,+30° 38′ 09.1″,16.21,,3000000,A,in Triangulum Galaxy; luminous blue variable; one of the most luminous stars known,23.454,30.636,Trianguli,  Trianguli
10518,Triangulum,HAT-P-38,, ,,,,,,02h 21m 31.90s,"+32° 14′ 47.0""",5.6,,812,G,Horna; has a planet (b),35.379,32.246,Trianguli,  Trianguli
10519,Triangulum,Var C,, ,,,,,,01h 33m 35.14s,+30° 36′ 00.4″,16.43,,3000000,B,"in Triangulum Galaxy; luminous blue variable, Vmax = 15.2m, Vmin = 17.2m; one of the most luminous stars known",23.396,30.600,Trianguli,  Trianguli
