USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
10572,Tucana,α Tuc,α,Alpha,,,,211416,110130,22h 18m 30.18s,-60° 15′ 34.2″,2.87,−1.05,199,K3III,astrometric binary,334.625,-59.741,Tucanae,Alpha Tucanae
10573,Tucana,γ Tuc,γ,Gamma,,,,219571,114996,23h 17m 25.81s,-58° 14′ 09.3″,3.99,2.28,72,F1III,,349.354,-57.764,Tucanae,Gamma Tucanae
10574,Tucana,ζ Tuc,ζ,Zeta,,,,1581,1599,00h 20m 01.91s,-64° 52′ 39.4″,4.23,4.56,28,F9V,Sun-like star,5.004,-63.123,Tucanae,Zeta Tucanae
10575,Tucana,κ Tuc,κ,Kappa,,,,7788,5896,01h 15m 45.50s,-68° 52′ 34.5″,4.25,2.7,67,F6IV,"quadruple star, suspected variable",18.938,-67.124,Tucanae,Kappa Tucanae
10576,Tucana,β1 Tuc,β1,Beta 1,,,,2884,2484,00h 31m 32.56s,-62° 57′ 29.1″,4.34,,135,B9V,component of the β Tuc system,7.883,-61.042,Tucanae,Beta 1 Tucanae
10577,Tucana,ε Tuc,ε,Epsilon,,,,224686,118322,23h 59m 54.91s,-65° 34′ 37.5″,4.49,−0.81,374,B9IV,,359.975,-64.423,Tucanae,Epsilon Tucanae
10578,Tucana,δ Tuc,δ,Delta,,,,212581,110838,22h 27m 19.87s,-64° 57′ 59.0″,4.5,−0.06,267,B8V,"suspected variable, Vmax = 4.46m, Vmin = 4.50m",336.829,-63.034,Tucanae,Delta Tucanae
10579,Tucana,β2 Tuc,β2,Beta 2,,,,2885,2487,00h 31m 33.36s,-62° 57′ 55.6″,4.51,,168,A2V,component of the β Tuc system,7.888,-61.035,Tucanae,Beta 2 Tucanae
10580,Tucana,ν Tuc,ν,Nu,,,,213442,111310,22h 33m 00.01s,-61° 58′ 55.5″,4.91,0.3,273,M4III,"semiregular variable, Vmax = 4.75m, Vmin = 4.93m",338.250,-60.018,Tucanae,Nu Tucanae
10581,Tucana,η Tuc,η,Eta,,,,224392,118121,23h 57m 34.97s,-64° 17′ 53.1″,5,1.56,159,A1V,,359.392,-63.702,Tucanae,Eta Tucanae
10582,Tucana,β3 Tuc,β3,Beta 3,,,,3003,2578,00h 32m 43.79s,-63° 01′ 53.0″,5.09,,149,A0V,component of the β Tuc system,8.179,-62.969,Tucanae,Beta 3 Tucanae
10583,Tucana,HD 212330,,HD 212330,,,,212330,110649,22h 24m 56.19s,-57° 47′ 47.8″,5.31,3.75,67,F9V,,336.233,-56.204,Tucanae,HD 212330 Tucanae
10584,Tucana,ι Tuc,ι,Iota,,,,6793,5268,01h 07m 18.57s,-61° 46′ 30.9″,5.36,0.7,279,G5III,semiregular variable,16.825,-60.225,Tucanae,Iota Tucanae
10585,Tucana,ρ Tuc,ρ,Rho,,,,4089,3330,00h 42m 28.30s,-65° 28′ 05.3″,5.38,2.33,133,F6V,,10.617,-64.532,Tucanae,Rho Tucanae
