USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
10645,Ursa Major,ε UMa,ε,Epsilon,77,,,112185,62956,12h 54m 01.63s,+55° 57′ 35.4″,1.76,−0.21,81,A0p,Alioth; brown dwarf companion?; α² CVn variable,193.504,55.960,Ursae Majoris,Epsilon Ursae Majoris
10646,Ursa Major,α UMa,α,Alpha,50,,,95689,54061,11h 03m 43.84s,+61° 45′ 04.0″,1.81,−1.08,124,F7V comp,"Dubhe, Dubh, Dubb, Thahr al Dub al Akbar, Ak",165.929,61.751,Ursae Majoris,Alpha Ursae Majoris
10647,Ursa Major,η UMa,η,Eta,85,,,120315,67301,13h 47m 32.55s,+49° 18′ 47.9″,1.85,−0.60,101,B3V SB,"Benetnasch, Alkaid, Elkeid",206.883,49.313,Ursae Majoris,Eta Ursae Majoris
10648,Ursa Major,Mizar,ζ1,Zeta 1,79,,,116656,65378,13h 23m 55.54s,+54° 55′ 31.3″,2.23,0.32,83,A2V SB,"Mizar A; spectroscopic binary, visual double star with Mizar B, naked eye binary with Alcor",200.979,54.925,Ursae Majoris,Zeta 1 Ursae Majoris
10649,Ursa Major,β UMa,β,Beta,48,,,95418,53910,11h 01m 50.39s,+56° 22′ 56.4″,2.34,0.41,79,A1V,"Merak, Mirak",165.458,56.382,Ursae Majoris,Beta Ursae Majoris
10650,Ursa Major,γ UMa,γ,Gamma,64,,,103287,58001,11h 53m 49.74s,+53° 41′ 41.0″,2.41,0.36,84,A0V SB,"Phad, Phecda, Phegda, Phekha, Phacd",178.454,53.695,Ursae Majoris,Gamma Ursae Majoris
10651,Ursa Major,ψ UMa,ψ,Psi,52,,,96833,54539,11h 09m 39.86s,+44° 29′ 54.8″,3,−0.27,147,K1III,Ta Tsun,167.413,44.498,Ursae Majoris,Psi Ursae Majoris
10652,Ursa Major,μ UMa,μ,Mu,34,,,89758,50801,10h 22m 19.80s,+41° 29′ 58.0″,3.06,−1.35,249,M0III SB,"Tania Australis, Alkafzah Australis; semiregular variable",155.579,41.499,Ursae Majoris,Mu Ursae Majoris
10653,Ursa Major,ι UMa,ι,Iota,9,,,76644,44127,08h 59m 12.84s,+48° 02′ 32.5″,3.12,2.29,48,A7IV,"Talitha, Dnoces, Alphikra Borealis; quadruple star",134.800,48.042,Ursae Majoris,Iota Ursae Majoris
10654,Ursa Major,θ UMa,θ,Theta,25,,,82328,46853,09h 32m 52.33s,+51° 40′ 43.0″,3.17,2.52,44,F6IV,"Al Haud, Sarir, Sarir Bonet",143.217,51.679,Ursae Majoris,Theta Ursae Majoris
10655,Ursa Major,δ UMa,δ,Delta,69,,,106591,59774,12h 15m 25.45s,+57° 01′ 57.4″,3.32,1.33,81,A3Vvar,"Megrez, Kaffa",183.854,57.033,Ursae Majoris,Delta Ursae Majoris
10656,Ursa Major,ο UMa,ο,Omicron,1,,,71369,41704,08h 30m 16.03s,+60° 43′ 06.4″,3.35,−0.40,184,G4II-III,"Muscida, has a planet (b)",127.567,60.718,Ursae Majoris,Omicron Ursae Majoris
10657,Ursa Major,λ UMa,λ,Lambda,33,,,89021,50372,10h 17m 05.93s,+42° 54′ 52.1″,3.45,0.38,134,A2IV,"Tania Borealis, Alkafzah Borealis",154.271,42.914,Ursae Majoris,Lambda Ursae Majoris
10658,Ursa Major,ν UMa,ν,Nu,54,,,98262,55219,11h 18m 28.76s,+33° 05′ 39.3″,3.49,−2.07,421,K3III SB,Alula Borealis,169.617,33.094,Ursae Majoris,Nu Ursae Majoris
10659,Ursa Major,κ UMa,κ,Kappa,12,,,77327,44471,09h 03m 37.56s,+47° 09′ 24.0″,3.57,−1.99,423,A1Vn,"Alkaphrah, Al Kaprah, Talitha Australis, Alphikra Australis",135.904,47.157,Ursae Majoris,Kappa Ursae Majoris
10660,Ursa Major,23 UMa,h,H,23,,,81937,46733,09h 31m 31.57s,+63° 03′ 42.5″,3.65,1.83,75,F0IV,,142.879,63.062,Ursae Majoris,H Ursae Majoris
10661,Ursa Major,χ UMa,χ,Chi,63,,,102224,57399,11h 46m 03.13s,+47° 46′ 45.6″,3.69,−0.20,196,K0III,"Taiyangshou, Alkafzah, Alkaphrah, El Koprah",176.513,47.779,Ursae Majoris,Chi Ursae Majoris
10662,Ursa Major,υ UMa,υ,Upsilon,29,,,84999,48319,09h 50m 59.69s,+59° 02′ 20.8″,3.78,1.04,115,F0IV,δ Sct variable,147.746,59.039,Ursae Majoris,Upsilon Ursae Majoris
10663,Ursa Major,ξ UMa A,ξ,Xi,53,,,98230,55203,11h 18m 11.24s,+31° 31′ 50.8″,3.79,4.18,27.3,G0V,Alula Australis; binary star; RS CVn variable,169.546,31.531,Ursae Majoris,Xi Ursae Majoris
