USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
10892,Ursa Minor,Polaris,α,Alpha,1,,,8890,11767,02h 31m 47.08s,+89° 15′ 50.9″,1.97,−3.64,431,F7:Ib-IIv SB,"Pole Star, Lodestar, Alruccabah, Cynosura, Phoenice, Tramontana, Angel Stern, Navigatoria, Star of Arcady, Yilduz, Mismar, Polyarnaya, Dhruva; classical Cepheid, Vmax = 1.97m, Vmin = 2.00m, P = 3.9696 d",37.946,89.264,Ursae Minoris,Alpha Ursae Minoris
10893,Ursa Minor,β UMi,β,Beta,7,,,131873,72607,14h 50m 42.40s,+74° 09′ 19.7″,2.07,−0.87,126,K4IIIvar,"Kochab, Kokab, Kochah; suspected variable, Vmax = 2.02m, Vmin = 2.08m, has a planet (b)",222.675,74.155,Ursae Minoris,Beta Ursae Minoris
10894,Ursa Minor,γ UMi,γ,Gamma,13,,,137422,75097,15h 20m 43.75s,+71° 50′ 02.3″,3.04,−2.84,480,A3II-III,"Pherkad, Pherkad Major; δ Sct variable, ΔV = 0.05m, P = 0.143009 d",230.179,71.834,Ursae Minoris,Gamma Ursae Minoris
10895,Ursa Minor,ε UMi,ε,Epsilon,22,,,153751,82080,16h 45m 58.16s,+82° 02′ 14.1″,4.21,−0.92,346,G5IIIvar,"RS CVn variable, Vmax = 4.19m, Vmin = 4.23m, P = 39.4809 d",251.492,82.037,Ursae Minoris,Epsilon Ursae Minoris
10896,Ursa Minor,5 UMi,,5,5,,,127700,70692,14h 27m 31.52s,+75° 41′ 45.4″,4.25,−0.87,345,K4III,,216.879,75.696,Ursae Minoris,5 Ursae Minoris
10897,Ursa Minor,ζ UMi,ζ,Zeta,16,,,142105,77055,15h 44m 03.46s,+77° 47′ 40.2″,4.29,−1.02,376,A3Vn,Ahfa al Farkadain,236.013,77.794,Ursae Minoris,Zeta Ursae Minoris
10898,Ursa Minor,δ UMi,δ,Delta,23,,,166205,85822,17h 32m 12.90s,+86° 35′ 10.8″,4.35,0.61,183,A1Vn,"Yildun, Gildun, Vildiur, Yilduz, Pherkard",263.050,86.586,Ursae Minoris,Delta Ursae Minoris
10899,Ursa Minor,RR UMi,,RR,,,RR,132813,73199,14h 57m 35.12s,+65° 55′ 56.6″,4.63,−0.80,398,M5III,"semiregular variable, Vmax = 4.44m, Vmin = 4.85m, P = 43.3 d",224.396,65.932,Ursae Minoris,RR Ursae Minoris
10900,Ursa Minor,4 UMi,,4,4,,,124547,69112,14h 08m 51.01s,+77° 32′ 50.8″,4.8,−1.13,500,K3III,,212.213,77.547,Ursae Minoris,4 Ursae Minoris
10901,Ursa Minor,η UMi,η,Eta,21,,,148048,79822,16h 17m 30.50s,+75° 45′ 16.9″,4.95,2.58,97,F5V,"Anwar al Farkadain, Alasco & Marlethias",244.375,75.754,Ursae Minoris,Eta Ursae Minoris
10902,Ursa Minor,θ UMi,θ,Theta,15,,,139669,76008,15h 31m 25.05s,+77° 20′ 57.6″,5,−2.03,832,K5III,suspected variable,232.854,77.349,Ursae Minoris,Theta Ursae Minoris
10903,Ursa Minor,11 UMi,,11,11,,,136726,74793,15h 17m 05.88s,+71° 49′ 26.0″,5.02,−0.37,389,K4III,Pherkad Minor; has a planet (b),229.271,71.824,Ursae Minoris,11 Ursae Minoris
10904,Ursa Minor,HD 136064,,HD 136064,,,,136064,74605,15h 14m 38.00s,+67° 20′ 51.6″,5.15,3.13,83,F9IV,,228.658,67.348,Ursae Minoris,HD 136064 Ursae Minoris
10905,Ursa Minor,HD 124730,,HD 124730,,,,124730,69373,14h 12m 04.05s,+69° 25′ 57.6″,5.18,−0.50,445,M2III,"variable star, ΔV = 0.010m, P = 4.43184 d",213.017,69.433,Ursae Minoris,HD 124730 Ursae Minoris
10906,Ursa Minor,19 UMi,,19,19,,,146926,79280,16h 10m 49.53s,+75° 52′ 39.1″,5.48,−1.07,665,B8V,,242.704,75.878,Ursae Minoris,19 Ursae Minoris
10907,Ursa Minor,HD 118904,,HD 118904,,,,118904,66435,13h 37m 11.05s,+71° 14′ 32.2″,5.5,0.05,400,K2III,has a planet (b),204.296,71.242,Ursae Minoris,HD 118904 Ursae Minoris
10908,Ursa Minor,HD 149681,,HD 149681,,,,149681,80480,16h 25m 43.53s,+78° 57′ 49.0″,5.55,2.42,138,F0V,,246.429,78.964,Ursae Minoris,HD 149681 Ursae Minoris
10909,Ursa Minor,HD 133002,,HD 133002,,,,133002,72573,14h 50m 19.63s,+82° 30′ 45.0″,5.63,2.45,141,F9V,,222.579,82.513,Ursae Minoris,HD 133002 Ursae Minoris
