USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
10951,Vela,γ2 Vel,γ2,Gamma 2,,,,68273,39953,08h 09m 31.96s,-47° 20′ 11.8″,1.83,−5.84,1120,WC8 + O7.5,"Suhail, Suhail al Muhlif, Muliphein, Regor; double star; Wolf-Rayet star, Vmax = 1.81m, Vmin = 1.87m",122.379,-46.664,Velorum,Gamma 2 Velorum
10952,Vela,δ Vel,δ,Delta,,,,74956,42913,08h 44m 42.20s,-54° 42′ 30.8″,1.96,0,81,A1Va(n),"Koo She, Alsephina; quadruple star; Algol variable, ΔV = 0.4m, P = 45.15 d",131.175,-53.292,Velorum,Delta Velorum
10953,Vela,λ Vel,λ,Lambda,,,,78647,44816,09h 07m 59.78s,-43° 25′ 57.4″,2.21,−3.97,573,K4Ib-II,"Suhail, Suhail al Muhlif, Al Suhail, Alsuhail, Suhail Alwazn, Muliphein; semiregular variable, Vmax = 2.14m, Vmin = 2.3m",136.996,-42.568,Velorum,Lambda Velorum
10954,Vela,κ Vel,κ,Kappa,,,,81188,45941,09h 22m 06.83s,-55° 00′ 38.5″,2.47,−3.62,539,B2IV,Markeb; Markab,140.525,-54.989,Velorum,Kappa Velorum
10955,Vela,μ Vel,μ,Mu,,,,93497,52727,10h 46m 46.12s,-49° 25′ 12.5″,2.69,−0.06,116,G5III SB,"Peregrini, Alherem, Al Haram",161.692,-48.580,Velorum,Mu Velorum
10956,Vela,HD 82668,N,N,,,,82668,46701,09h 31m 13.35s,-57° 02′ 03.8″,3.16,−1.15,238,K5III,"Marut; semiregular variable, Vmax = 3.12m, Vmin = 3.18m",142.804,-56.966,Velorum,N Velorum
10957,Vela,φ Vel,φ,Phi,,,,86440,48774,09h 56m 51.75s,-54° 34′ 04.1″,3.52,−5.34,1929,B5Ib,Tseen Ke,149.213,-53.432,Velorum,Phi Velorum
10958,Vela,ο Vel,ο,Omicron,,,,74195,42536,08h 40m 17.61s,-52° 55′ 19.1″,3.6,−2.31,495,B3IV,"Xestus; in IC 2391; slowly pulsating B star, Vmax = 3.57m, Vmin = 3.63m, P = 2.80 d",130.071,-51.078,Velorum,Omicron Velorum
10959,Vela,HD 78004,c,C,,,,78004,44511,09h 04m 09.32s,-47° 05′ 51.8″,3.75,−1.13,309,K2III,,136.038,-46.903,Velorum,C Velorum
10960,Vela,HD 74180,b,B,,,,74180,42570,08h 40m 37.58s,-46° 38′ 55.5″,3.81,−7.06,4900,F3Ia,"suspected variable, Vmax = 3.80m, Vmin = 3.91m",130.154,-45.351,Velorum,B Velorum
10961,Vela,p Vel,p,P,,,,92139,51986,10h 37m 18.26s,-48° 13′ 32.2″,3.84,1.72,86,A3m+...,,159.325,-47.774,Velorum,P Velorum
10962,Vela,HD 88955,q,Q,,,,88955,50191,10h 14m 44.27s,-42° 07′ 19.4″,3.85,1.36,103,A2V,,153.683,-41.878,Velorum,Q Velorum
10963,Vela,HD 75063,a,A,,,,75063,43023,08h 46m 01.65s,-46° 02′ 29.5″,3.87,−4.52,1552,A1III,,131.504,-45.959,Velorum,A Velorum
10964,Vela,ψ Vel A,ψ,Psi,,,,82434A,46651,09h 30m 42.11s,-40° 28′ 00.8″,3.91,2.57,61,F3VFe-0.7,,142.675,-39.533,Velorum,Psi Velorum
10965,Vela,HD 74772,d,D,,,,74772,42884,08h 44m 23.97s,-42° 38′ 57.6″,4.05,−0.18,228,G5III,,131.096,-41.351,Velorum,D Velorum
10966,Vela,HD 73634,e,E,,,,73634,42312,08h 37m 38.64s,-42° 59′ 20.8″,4.11,−4.11,1436,A6II,,129.408,-41.011,Velorum,E Velorum
10967,Vela,γ1 Vel,γ1,Gamma 1,,,,68243,,08h 09m 29.30s,-47° 20′ 45.0″,4.27,−3.62,840,B2III,"component of the γ Vel system, spectroscopic binary; suspected variable",122.371,-46.654,Velorum,Gamma 1 Velorum
10968,Vela,HD 92449,x,X,,,,92449,52154,10h 39m 18.41s,-55° 36′ 11.8″,4.29,−2.92,901,G2II,,159.825,-54.397,Velorum,X Velorum
10969,Vela,HD 83446,M,M,,,,83446,47175,09h 36m 49.66s,-49° 21′ 18.5″,4.34,1.75,107,A5V,,144.204,-48.645,Velorum,M Velorum
10970,Vela,HD 95370,i,I,,,,95370,53773,11h 00m 09.25s,-42° 13′ 33.1″,4.37,0.39,204,A3IV,,165.038,-41.774,Velorum,I Velorum
10971,Vela,HD 77258,w,W,,,,77258,44191,09h 00m 05.44s,-41° 15′ 13.5″,4.47,0.52,201,K0III+...,suspected variable,135.021,-40.746,Velorum,W Velorum
10972,Vela,MV Vel,J,J,,,MV,89890,50676,10h 20m 54.81s,-56° 02′ 35.6″,4.49,−3.24,1150,B3III,Be star; ΔV = 0.06m,155.225,-55.957,Velorum,J Velorum
10973,Vela,HD 85622,m,M,,,,85622,48374,09h 51m 40.69s,-46° 32′ 51.5″,4.58,−3.03,1083,G5Ib,"variable star, ΔV = 0.005m, P = 1.64 d",147.917,-45.453,Velorum,M Velorum
10974,Vela,GZ Vel,,GZ,,,GZ,89682,50555,10h 19m 36.77s,-55° 01′ 45.5″,4.59,−3.71,1489,K3II,slow irregular variable,154.900,-54.971,Velorum,GZ Velorum
10975,Vela,HD 79940,k,K,,,,79940,45448,09h 15m 45.07s,-37° 24′ 47.3″,4.63,1.1,166,F3/F5V,,138.938,-36.587,Velorum,K Velorum
10976,Vela,H Vel,H,H,,,,76805,43878,08h 56m 19.28s,-52° 43′ 24.6″,4.68,−0.63,376,B5V,,134.079,-51.277,Velorum,H Velorum
10977,Vela,HD 74272,n,N,,,,74272,42624,08h 41m 13.14s,-47° 19′ 01.7″,4.74,−4.08,1895,A5II,,130.304,-46.683,Velorum,N Velorum
10978,Vela,HD 70930,B,B,,,,70930,41039,08h 22m 31.70s,-48° 29′ 25.4″,4.82,−3.79,1720,B1V,suspected variable,125.629,-47.510,Velorum,B Velorum
10979,Vela,HD 89998,r,R,,,,89998,50799,10h 22m 19.61s,-41° 39′ 00.4″,4.82,0.88,200,K1IIIvar,,155.579,-40.350,Velorum,R Velorum
10980,Vela,HY Vel,,HY,,,HY,74560,42726,08h 42m 25.41s,-53° 06′ 50.5″,4.83,−1.01,479,B3IV,"in IC 2391; slowly pulsating B star, Vmax = 4.81m, Vmin = 4.86m, P = 1.55 d",130.604,-52.886,Velorum,HY Velorum
10981,Vela,HD 88206,Q,Q,,,,88206,49712,10h 08m 56.25s,-51° 48′ 40.5″,4.85,−2.76,1083,B3IV,,152.233,-50.189,Velorum,Q Velorum
10982,Vela,HD 91324,,HD 91324,,,,91324,51523,10h 31m 22.23s,-53° 42′ 57.6″,4.89,3.19,71,F6V,,157.842,-52.284,Velorum,HD 91324 Velorum
10983,Vela,HD 79917,l,L,,,,79917,45439,09h 15m 36.76s,-38° 34′ 11.7″,4.92,0.73,225,K1III,,138.900,-37.430,Velorum,L Velorum
10984,Vela,HD 75710,g,G,,,,75710,43347,08h 49m 47.65s,-45° 18′ 28.5″,4.94,−2.08,827,A2III,,132.446,-44.692,Velorum,G Velorum
10985,Vela,HD 72127,,HD 72127,,,,72127,41639,08h 29m 27.49s,-44° 43′ 29.4″,4.99,−4.53,2610,B2IV,suspected variable,127.363,-43.275,Velorum,HD 72127 Velorum
10986,Vela,GX Vel,,GX,,,GX,79186,45085,09h 11m 04.40s,-44° 52′ 04.5″,5,−5.81,4700,B5Ia,"α Cyg variable, Vmax = 4.97m, Vmin = 5.04m",137.767,-43.132,Velorum,GX Velorum
10987,Vela,HD 73155,C,C,,,,73155,42088,08h 34m 43.61s,-49° 56′ 39.3″,5.01,−2.14,876,K1/K2II,"variable star, ΔV = 0.004m, P = 0.091 d",128.679,-48.056,Velorum,C Velorum
10988,Vela,HD 83058,L,L,,,,83058,46950,09h 34m 08.80s,-51° 15′ 19.0″,5.01,−2.27,931,B1.5IV,,143.533,-50.745,Velorum,L Velorum
10989,Vela,HD 91504,t,T,,,,91504,51635,10h 32m 56.88s,-47° 00′ 12.1″,5.02,−2.34,964,K4III,,158.233,-46.997,Velorum,T Velorum
10990,Vela,HD 67582,,HD 67582,,,,67582,39690,08h 06m 40.34s,-45° 15′ 57.8″,5.04,−2.86,1240,K3III,"suspected variable, ΔV = 0.07m",121.667,-44.734,Velorum,HD 67582 Velorum
10991,Vela,HD 87783,,HD 87783,,,,87783,49485,10h 06m 11.22s,-47° 22′ 11.5″,5.06,0.57,258,K0IV,,151.546,-46.630,Velorum,HD 87783 Velorum
10992,Vela,GU Vel,F,F,,,GU,71935,41483,08h 27m 36.65s,-53° 05′ 18.7″,5.08,1.1,204,A9/F0III/IV,"δ Sct variable, Vmax = 5.08m, Vmin = 5.11m, P = 0.07 d",126.900,-52.912,Velorum,F Velorum
10993,Vela,KX Vel,f,F,,,KX,75821,43413,08h 50m 33.46s,-46° 31′ 45.1″,5.09,−4.50,2694,B0III,spectroscopic binary; Algol variable,132.638,-45.471,Velorum,F Velorum
10994,Vela,HD 81848,I,I,,,,81848,46283,09h 26m 17.98s,-53° 22′ 44.2″,5.09,−0.47,422,B6V,"variable star, ΔV = 0.008m, P = 0.41 d",141.571,-52.621,Velorum,I Velorum
10995,Vela,HD 85355,u,U,,,,85355,48224,09h 49m 57.16s,-45° 43′ 57.9″,5.09,−2.01,856,B7III,,147.488,-44.268,Velorum,U Velorum
10996,Vela,ψ Vel B,ψ,Psi,,,,82434B,,09h 30m 42.11s,-40° 28′ 00.8″,5.12,3.75,61,,suspected variable,142.675,-39.533,Velorum,Psi Velorum
10997,Vela,HD 80108,,HD 80108,,,,80108,45505,09h 16m 23.04s,-44° 15′ 56.7″,5.12,−5.34,4025,K3Ib,"variable star, ΔV = 0.006m, P = 0.089 d",139.096,-43.734,Velorum,HD 80108 Velorum
10998,Vela,HD 82984,,HD 82984,,,,82984,46914,09h 33m 44.56s,-49° 00′ 18.3″,5.12,−2.22,959,B4IV,suspected variable,143.433,-48.995,Velorum,HD 82984 Velorum
10999,Vela,NO Vel,,NO,,,NO,69144,40285,08h 13m 36.16s,-46° 59′ 30.0″,5.14,−2.23,970,B2.5IV,eclipsing binary,123.400,-45.008,Velorum,NO Velorum
11000,Vela,HD 93563,,HD 93563,,,,93563,52742,10h 46m 57.49s,-56° 45′ 25.9″,5.14,−0.99,548,B8/B9III,"variable star, ΔV = 0.003m, P = 0.87 d",161.738,-55.243,Velorum,HD 93563 Velorum
11001,Vela,HD 74753,D,D,,,,74753,42834,08h 43m 40.28s,-49° 49′ 22.1″,5.15,−3.19,1516,B0IIIn,,130.917,-48.177,Velorum,D Velorum
11002,Vela,FZ Vel,,FZ,,,FZ,77140,44093,08h 58m 52.43s,-47° 14′ 05.4″,5.17,1.02,221,Am,"δ Sct variable, Vmax = 5.14m, Vmin = 5.17m, P = 0.065 d",134.717,-46.765,Velorum,FZ Velorum
11003,Vela,HD 71510,,HD 71510,,,,71510,41296,08h 25m 31.34s,-51° 43′ 38.8″,5.18,−1.40,674,B2V,,126.379,-50.273,Velorum,HD 71510 Velorum
11004,Vela,NZ Vel,,NZ,,,NZ,74146,42504,08h 39m 57.62s,-53° 03′ 17.2″,5.18,−0.41,428,B4IV,in IC 2391; rotating ellipsoidal variable,129.988,-52.945,Velorum,NZ Velorum
11005,Vela,HD 68217,,HD 68217,,,,68217,39961,08h 09m 35.92s,-44° 07′ 22.0″,5.2,−2.51,1136,B2IV-V,suspected variable,122.396,-43.877,Velorum,HD 68217 Velorum
11006,Vela,NY Vel,,NY,,,NY,74067,42540,08h 40m 19.22s,-40° 15′ 50.0″,5.2,0.53,280,Ap (SiCr),α² CVn variable,130.079,-39.736,Velorum,NY Velorum
11007,Vela,LN Vel,,LN,,,LN,74371,42679,08h 41m 56.91s,-45° 24′ 38.6″,5.2,−4.39,2694,B5Iab,"α Cyg variable, Vmax = 5.19m, Vmin = 5.25m, P = 8.29 d",130.483,-44.589,Velorum,LN Velorum
11008,Vela,IS Vel,,IS,,,IS,68324,39970,08h 09m 43.16s,-47° 56′ 14.0″,5.23,−2.02,921,B1IVe,β Cep variable,122.429,-46.063,Velorum,IS Velorum
11009,Vela,OY Vel,,OY,,,OY,77653,44337,09h 01m 44.57s,-52° 11′ 19.4″,5.23,−0.41,437,Ap Si,α² CVn variable,135.433,-51.811,Velorum,OY Velorum
11010,Vela,HD 79735,z,Z,,,,79735,45344,09h 14m 24.50s,-43° 13′ 39.1″,5.24,−0.92,556,B4V+...,"variable star, ΔV = 0.006m, P = 0.71 d",138.600,-42.773,Velorum,Z Velorum
11011,Vela,HD 79846,,HD 79846,,,,79846,45328,09h 14m 18.02s,-55° 34′ 10.9″,5.26,−1.20,638,G8II/III,suspected variable,138.575,-54.431,Velorum,HD 79846 Velorum
11012,Vela,HD 80456,K,K,,,,80456,45631,09h 18m 05.89s,-51° 03′ 03.2″,5.26,−0.34,431,B7/B8III,,139.521,-50.949,Velorum,K Velorum
11013,Vela,LW Vel,,LW,,,LW,88824,50070,10h 13m 22.88s,-51° 13′ 58.6″,5.27,1.78,163,A7V,"δ Sct variable, Vmax = 5.24m, Vmin = 5.29m, P = 0.11 d",153.342,-50.767,Velorum,LW Velorum
11014,Vela,HD 76360,,HD 76360,,,,76360,43671,08h 53m 50.60s,-47° 31′ 14.6″,5.31,0.79,261,Am,,133.458,-46.479,Velorum,HD 76360 Velorum
11015,Vela,HD 80170,,HD 80170,,,,80170,45544,09h 16m 57.10s,-39° 24′ 05.2″,5.31,0.12,355,K2III,,139.238,-38.599,Velorum,HD 80170 Velorum
11016,Vela,HD 72108,A,A,,,,72108,41616,08h 29m 04.76s,-47° 55′ 44.2″,5.33,−3.18,1638,B2IV,,127.267,-46.071,Velorum,A Velorum
11017,Vela,HD 82694,,HD 82694,,,,82694,46811,09h 32m 19.27s,-40° 38′ 57.6″,5.35,−0.04,390,G8III,,143.079,-39.351,Velorum,HD 82694 Velorum
11018,Vela,OP Vel,,OP,,,OP,75149,43082,08h 46m 30.55s,-45° 54′ 45.1″,5.43,−4.59,3293,B3Ia,α Cyg variable,131.625,-44.088,Velorum,OP Velorum
11019,Vela,HD 83520,,HD 83520,,,,83520,47204,09h 37m 12.68s,-53° 40′ 06.5″,5.44,1.16,234,A2/A3V,,144.300,-52.332,Velorum,HD 83520 Velorum
11020,Vela,HD 82419,,HD 82419,,,,82419,46594,09h 30m 05.13s,-51° 31′ 01.9″,5.45,−0.08,415,B8V,,142.521,-50.483,Velorum,HD 82419 Velorum
11021,Vela,HR 3440,,HW,,,HW,74071,42459,08h 39m 23.87s,-53° 26′ 23.4″,5.46,−0.24,451,B5V,"in IC 2391; β Cep variable, Vmax = 5.46m, Vmin = 5.52m, P = 0.26 d",129.846,-52.560,Velorum,HW Velorum
11022,Vela,HD 75630,h,H,,,,75630,43325,08h 49m 39.17s,-40° 19′ 12.6″,5.47,−2.97,1590,A2/A3IV,,132.413,-39.680,Velorum,H Velorum
11023,Vela,HX Vel,,HX,,,HX,74455,42712,08h 42m 16.20s,-48° 05′ 56.8″,5.48,−3.09,1689,B1.5Vn,"rotating ellipsoidal variable, Vmax = 5.48m, Vmin = 5.53m, P = 1.12 d",130.567,-47.901,Velorum,HX Velorum
11024,Vela,KT Vel,,KT,,,KT,74535,42715,08h 42m 19.02s,-53° 06′ 00.4″,5.49,−0.36,483,B8...,"in IC 2391; α² CVn variable, Vmax = 5.49m, Vmin = 5.56m, P = 3.38 d",130.579,-52.900,Velorum,KT Velorum
11025,Vela,HD 83548,y,Y,,,,83548,47267,09h 38m 01.43s,-43° 11′ 27.1″,5.51,−0.35,484,G8II,,144.504,-42.809,Velorum,Y Velorum
11026,Vela,HD 69194,,HD 69194,,,,69194,40282,08h 13m 34.23s,-50° 11′ 45.8″,5.51,−1.29,753,M1III,"semiregular variable, ΔV = 0.07m",123.392,-49.804,Velorum,HD 69194 Velorum
11027,Vela,HD 74196,,HD 74196,,,,74196,42535,08h 40m 17.49s,-53° 00′ 55.6″,5.56,−0.24,472,B7Vn,"in IC 2391; suspected β Cep variable, Vmax = 5.56m, Vmin = 5.62m",130.071,-52.985,Velorum,HD 74196 Velorum
11028,Vela,HR 3600,,IZ,,,IZ,77475,44299,09h 01m 20.88s,-41° 51′ 51.4″,5.56,−0.24,471,B5V,"slowly pulsating B star, Vmax = 5.53m, Vmin = 5.56m",135.333,-40.136,Velorum,IZ Velorum
11029,Vela,KL Vel,,KL,,,KL,79416,45189,09h 12m 30.54s,-43° 36′ 47.9″,5.56,−0.85,623,B8V,"slowly pulsating B star, Vmax = 5.56m, Vmin = 5.57m, P = 2.91 d",138.125,-42.387,Velorum,KL Velorum
11030,Vela,HD 81034,,HD 81034,,,,81034,45924,09h 21m 50.94s,-42° 11′ 41.1″,5.56,−0.63,565,M3Ib,semiregular variable,140.458,-41.805,Velorum,HD 81034 Velorum
11031,Vela,HD 84461,O,O,,,,84461,47717,09h 43m 42.30s,-53° 53′ 28.9″,5.56,0.38,355,A0V,,145.925,-52.109,Velorum,O Velorum
11032,Vela,HD 84816,,HD 84816,,,,84816,47963,09h 46m 30.38s,-44° 45′ 18.2″,5.58,−2.64,1436,B2.5IV,suspected variable,146.625,-43.245,Velorum,HD 84816 Velorum
11033,Vela,HD 90677,,HD 90677,,,,90677,51140,10h 26m 48.93s,-54° 52′ 38.3″,5.58,−2.87,1598,K3II/III,"variable star, ΔV = 0.008m, P = 2.95 d",156.700,-53.123,Velorum,HD 90677 Velorum
