USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
11212,Virgo,Spica,α,Alpha,67,144,,116658,65474,13h 25m 11.60s,-11° 09′ 40.5″,0.98,−3.55,262,B1V,"Spica Virginis, Azimech, Alarph; β Cep variable",201.296,-10.839,Virginis,Alpha Virginis
11213,Virgo,γ Vir A,γ,Gamma,29,76,,110379,61941,12h 41m 40.00s,-01° 26′ 58.3″,2.74,2.38,39,F0V+...,"Porrima, Antevorta, Arich; double star",190.417,-0.551,Virginis,Gamma Virginis
11214,Virgo,ε Vir,ε,Epsilon,47,,,113226,63608,13h 02m 10.76s,+10° 57′ 32.8″,2.85,0.37,102,G8IIIvar,"Vindemiatrix, Vindemiator, Almuredin, Alaraph, Provindemiator, Protrigetrix, Protrygetor",195.542,10.959,Virginis,Epsilon Virginis
11215,Virgo,ζ Vir,ζ,Zeta,79,167,,118098,66249,13h 34m 41.75s,-00° 35′ 45.4″,3.38,1.62,73,A3V,Heze,203.671,0.596,Virginis,Zeta Virginis
11216,Virgo,δ Vir,δ,Delta,43,95,,112300,63090,12h 55m 36.48s,+03° 23′ 51.4″,3.39,−0.57,202,M3III,"Auva, Al Awwa, Minelauva",193.900,3.398,Virginis,Delta Virginis
11217,Virgo,β Vir,β,Beta,5,11,,102870,57757,11h 50m 41.29s,+01° 45′ 55.4″,3.59,3.4,36,F8V,"Zavijava, Zavijah, Zavyava, Zawijah, Alaraph, Minelauva",177.671,1.765,Virginis,Beta Virginis
11218,Virgo,γ Vir B,γ,Gamma,29,75,,110380,,12h 41m 39.60s,-01° 26′ 58.0″,3.68,,38.1,,component of γ Vir,190.413,-0.551,Virginis,Gamma Virginis
11219,Virgo,109 Vir,,109,109,259,,130109,72220,14h 46m 14.99s,+01° 53′ 34.6″,3.73,0.75,129,A0V,,221.558,1.893,Virginis,109 Virginis
11220,Virgo,μ Vir,μ,Mu,107,255,,129502,71957,14h 43m 03.56s,-05° 39′ 26.7″,3.87,2.51,61,F2III,Rijl al Awwa,220.763,-4.343,Virginis,Mu Virginis
11221,Virgo,η Vir,η,Eta,15,45,,107259,60129,12h 19m 54.39s,-00° 40′ 00.3″,3.89,−0.53,250,A2IV,Zaniah,184.975,0.667,Virginis,Eta Virginis
11222,Virgo,ν Vir,ν,Nu,3,7,,102212,57380,11h 45m 51.57s,+06° 31′ 47.3″,4.04,−0.87,313,M0III,,176.463,6.530,Virginis,Nu Virginis
11223,Virgo,ι Vir,ι,Iota,99,228,,124850,69701,14h 16m 00.88s,-05° 59′ 58.3″,4.07,2.42,70,F7III,Syrma,214.000,-4.001,Virginis,Iota Virginis
11224,Virgo,ο Vir,ο,Omicron,9,32,,104979,58948,12h 05m 12.67s,+08° 43′ 58.2″,4.12,0.52,171,G8III,,181.300,8.733,Virginis,Omicron Virginis
11225,Virgo,κ Vir,κ,Kappa,98,223,,124294,69427,14h 12m 53.74s,-10° 16′ 26.6″,4.18,0,223,K3III,Kang,213.221,-9.726,Virginis,Kappa Virginis
11226,Virgo,τ Vir,τ,Tau,93,206,,122408,68520,14h 01m 38.78s,+01° 32′ 40.5″,4.23,0.1,218,A3V,,210.408,1.544,Virginis,Tau Virginis
11227,Virgo,θ Vir,θ,Theta,51,115,,114330,64238,13h 09m 57.01s,-05° 32′ 20.1″,4.38,−1.14,415,A1V,,197.488,-4.461,Virginis,Theta Virginis
11228,Virgo,110 Vir,,110,110,268,,133165,73620,15h 02m 54.07s,+02° 05′ 28.6″,4.39,0.64,183,K0III,,225.725,2.091,Virginis,110 Virginis
11229,Virgo,λ Vir,λ,Lambda,100,237,,125337,69974,14h 19m 06.60s,-13° 22′ 16.2″,4.52,0.73,187,A1V,Khambalia,214.775,-12.629,Virginis,Lambda Virginis
11230,Virgo,π Vir,π,Pi,8,25,,104321,58590,12h 00m 52.39s,+06° 36′ 51.8″,4.65,−0.54,356,A5V,,180.217,6.614,Virginis,Pi Virginis
11231,Virgo,χ Vir,χ,Chi,26,73,,110014,61740,12h 39m 14.81s,-07° 59′ 43.8″,4.66,−0.29,318,K2III,has a planet (b),189.808,-6.005,Virginis,Chi Virginis
11232,Virgo,74 Vir,l,L,74,157,,117675,66006,13h 31m 57.95s,-06° 15′ 20.6″,4.68,−0.93,432,M3III,,202.988,-5.744,Virginis,L Virginis
11233,Virgo,61 Vir,,61,61,131,,115617,64924,13h 18m 24.97s,-18° 18′ 31.0″,4.74,5.09,28,G5V,"nearby star, has three planets (b, c & d)",199.600,-17.691,Virginis,61 Virginis
11234,Virgo,69 Vir,,69,69,148,,116976,65639,13h 27m 27.24s,-15° 58′ 25.1″,4.76,0.27,258,K1IIICN...,,201.863,-14.026,Virginis,69 Virginis
11235,Virgo,ψ Vir,ψ,Psi,40,93,,112142,62985,12h 54m 21.17s,-09° 32′ 20.2″,4.77,−0.76,417,M3IIIvar,,193.588,-8.461,Virginis,Psi Virginis
11236,Virgo,σ Vir,σ,Sigma,60,130,,115521,64852,13h 17m 36.29s,+05° 28′ 11.4″,4.78,−1.32,541,M2III,,199.400,5.470,Virginis,Sigma Virginis
11237,Virgo,φ Vir,φ,Phi,105,246,,126868,70755,14h 28m 12.22s,-02° 13′ 40.6″,4.81,1.72,135,G2III,Elgafar,217.050,-1.772,Virginis,Phi Virginis
11238,Virgo,ξ Vir,ξ,Xi,2,6,,102124,57328,11h 45m 17.00s,+08° 15′ 29.4″,4.84,2.02,119,A4V,,176.321,8.258,Virginis,Xi Virginis
11239,Virgo,ρ Vir,ρ,Rho,30,,,110411,61960,12h 41m 53.01s,+10° 14′ 09.0″,4.88,2.04,120,A0V,δ Sct variable,190.471,10.236,Virginis,Rho Virginis
11240,Virgo,78 Vir,o,O,78,163,CW,118022,66200,13h 34m 07.91s,+03° 39′ 32.5″,4.92,1.17,183,A1p SrCrEu,CW Vir; α² CVn variable,203.529,3.659,Virginis,O Virginis
11241,Virgo,ET Vir,,ET,,219,ET,123934,69269,14h 10m 50.48s,-16° 18′ 07.2″,4.93,−1.17,542,M1III,,212.708,-15.698,Virginis,ET Virginis
11242,Virgo,89 Vir,,89,89,190,,120452,67494,13h 49m 52.34s,-18° 08′ 02.7″,4.96,0.61,242,K0III,,207.467,-17.866,Virginis,89 Virginis
11243,Virgo,16 Vir,c,C,16,46,,107328,60172,12h 20m 21.15s,+03° 18′ 45.8″,4.97,0.26,285,K1III,Yèzhě (謁者)[1],185.088,3.313,Virginis,C Virginis
11244,Virgo,70 Vir,,70,70,,,117176,65721,13h 28m 25.95s,+13° 46′ 48.7″,4.97,3.68,59,G5V,has a planet (b),202.104,13.780,Virginis,70 Virginis
11245,Virgo,CU Vir,,CU,,222,CU,124224,69389,14h 12m 15.83s,+02° 24′ 34.2″,4.99,0.47,262,B9p Si,α² CVn variable,213.063,2.409,Virginis,CU Virginis
11246,Virgo,82 Vir,m,M,82,173,,119149,66803,13h 41m 36.83s,-08° 42′ 11.1″,5.03,−0.70,457,M2III,,205.400,-7.297,Virginis,M Virginis
11247,Virgo,53 Vir,,53,53,117,,114642,64407,13h 12m 03.48s,-16° 11′ 52.5″,5.04,2.48,106,F6V,,198.013,-15.802,Virginis,53 Virginis
11248,Virgo,244 G. Vir,,244 G,,244,,126248,70400,14h 24m 11.39s,+05° 49′ 12.4″,5.1,1.77,151,A5V,,216.046,5.820,Virginis,244 G Virginis
11249,Virgo,υ Vir,υ,Upsilon,102,238,,125454,70012,14h 19m 32.55s,-02° 15′ 55.2″,5.14,0.52,274,G9III,,214.883,-1.735,Virginis,Upsilon Virginis
11250,Virgo,49 Vir,,49,49,109,,114038,64078,13h 07m 53.80s,-10° 44′ 25.4″,5.15,0.29,306,K2III,,196.971,-9.260,Virginis,49 Virginis
11251,Virgo,90 Vir,p,P,90,198,,121299,67929,13h 54m 42.20s,-01° 30′ 11.1″,5.16,0.7,254,K2III,,208.675,-0.497,Virginis,P Virginis
11252,Virgo,59 Vir,e,E,59,,,115383,64792,13h 16m 46.71s,+09° 25′ 25.3″,5.19,3.92,59,G0Vs,,199.192,9.424,Virginis,E Virginis
11253,Virgo,57 Vir,,57,57,124,,115202,64725,13h 15m 58.58s,-19° 56′ 34.2″,5.21,2.26,127,K1III,,198.992,-18.057,Virginis,57 Virginis
11254,Virgo,76 Vir,h,H,76,159,,117818,66098,13h 32m 58.09s,-10° 09′ 53.7″,5.21,0.67,264,K0III,,203.242,-9.835,Virginis,H Virginis
