USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
11462,Vulpecula,α Vul,α,Alpha,6,,,183439,95771,19h 28m 42.41s,+24° 39′ 54.6″,4.44,−0.35,296,M0III comp,"Anser;[1] suspected variable, Vmax = 4.39m, Vmin = 4.46m",292.175,24.665,Vulpeculae,Alpha Vulpeculae
11463,Vulpecula,23 Vul,,23,23,,,192806,99874,20h 15m 46.16s,+27° 48′ 51.2″,4.5,−0.51,328,K3III,,303.942,27.814,Vulpeculae,23 Vulpeculae
11464,Vulpecula,31 Vul,(r)[2],r,31,,,198809,103004,20h 52m 07.73s,+27° 05′ 49.7″,4.56,0.45,216,G8III,,313.029,27.097,Vulpeculae,r Vulpeculae
11465,Vulpecula,13 Vul,,13,13,,,188260,97886,19h 53m 27.68s,+24° 04′ 46.3″,4.57,−0.64,359,B9.5III,,298.363,24.079,Vulpeculae,13 Vulpeculae
11466,Vulpecula,15 Vul,,15,15,,NT,189849,98543,20h 01m 06.01s,+27° 45′ 12.8″,4.66,0.49,222,A4III,"α² CVn variable, Vmax = 4.62m, Vmin = 4.67m, P = 14 d",300.275,27.753,Vulpeculae,15 Vulpeculae
11467,Vulpecula,1 Vul,,1,1,,,180554,94703,19h 16m 13.04s,+21° 23′ 25.6″,4.76,−2.47,911,B4IV,"suspected variable, Vmax = 4.57m, Vmin = 4.77m",289.054,21.390,Vulpeculae,1 Vulpeculae
11468,Vulpecula,HR 7739,,QR,,,QR,192685,99824,20h 15m 15.89s,+25° 35′ 31.1″,4.79,−3.04,1199,B3V,"γ Cas variable, Vmax = 4.6m, Vmin = 4.8m",303.813,25.592,Vulpeculae,QR Vulpeculae
11469,Vulpecula,29 Vul,,29,29,,,196724,101867,20h 38m 31.29s,+21° 12′ 04.2″,4.81,0.73,213,A0V,,309.629,21.201,Vulpeculae,29 Vulpeculae
11470,Vulpecula,12 Vul,,12,12,,V395,187811,97679,19h 51m 04.09s,+22° 36′ 36.3″,4.9,−1.49,619,B2.5V,"Be star, Vmax = 4.78m, Vmin = 4.97m",297.767,22.610,Vulpeculae,12 Vulpeculae
11471,Vulpecula,30 Vul,,30,30,,,197752,102388,20h 44m 52.52s,+25° 16′ 15.8″,4.92,−0.32,365,K2III,,311.217,25.271,Vulpeculae,30 Vulpeculae
